GENESIS-Tabelle: 173-21-4
Bevölkerungsstand: Bevölkerung nach Geschlecht;;;;;
und Altersgruppen (17) - Stichtag 31.12. -;;;;;
regionale Tiefe: Kreise und krfr. Städte;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
2014-12-31;;;;;
;;;Total;männlich;weiblich
05166;      Viersen, Kreis;45 bis unter 50 Jahre;27798;13762;14036
05166;      Viersen, Kreis;50 bis unter 55 Jahre;27847;13996;13851
05166;      Viersen, Kreis;55 bis unter 60 Jahre;22717;11358;11359
05166;      Viersen, Kreis;60 bis unter 65 Jahre;19097;9277;9820
05166;      Viersen, Kreis;65 bis unter 75 Jahre;31159;14557;16602
05166;      Viersen, Kreis;75 Jahre und mehr;31447;12575;18872
05166;      Viersen, Kreis;Total;295067;143447;151620
05170;      Wesel, Kreis;unter 3 Jahre;10401;5351;5050
05170;      Wesel, Kreis;3 bis unter 6 Jahre;10597;5389;5208
05170;      Wesel, Kreis;6 bis unter 10 Jahre;15006;7731;7275
05170;      Wesel, Kreis;10 bis unter 15 Jahre;21181;10813;10368
05170;      Wesel, Kreis;15 bis unter 18 Jahre;14363;7338;7025
05170;      Wesel, Kreis;18 bis unter 20 Jahre;9758;5125;4633
05170;      Wesel, Kreis;20 bis unter 25 Jahre;24382;12948;11434
05170;      Wesel, Kreis;25 bis unter 30 Jahre;24317;12380;11937
05170;      Wesel, Kreis;30 bis unter 35 Jahre;23828;11848;11980
05170;      Wesel, Kreis;35 bis unter 40 Jahre;23869;11635;12234
05170;      Wesel, Kreis;40 bis unter 45 Jahre;28233;13767;14466
05170;      Wesel, Kreis;45 bis unter 50 Jahre;39884;19578;20306
05170;      Wesel, Kreis;50 bis unter 55 Jahre;41604;20571;21033
05170;      Wesel, Kreis;55 bis unter 60 Jahre;36838;18297;18541
05170;      Wesel, Kreis;60 bis unter 65 Jahre;32000;15415;16585
05170;      Wesel, Kreis;65 bis unter 75 Jahre;49631;23494;26137
05170;      Wesel, Kreis;75 Jahre und mehr;51352;20534;30818
05170;      Wesel, Kreis;Total;457244;222214;235030
053;    Köln, Regierungsbezirk;unter 3 Jahre;116818;60159;56659
053;    Köln, Regierungsbezirk;3 bis unter 6 Jahre;113708;58511;55197
053;    Köln, Regierungsbezirk;6 bis unter 10 Jahre;154835;79724;75111
053;    Köln, Regierungsbezirk;10 bis unter 15 Jahre;205051;105360;99691
053;    Köln, Regierungsbezirk;15 bis unter 18 Jahre;136379;69974;66405
053;    Köln, Regierungsbezirk;18 bis unter 20 Jahre;95161;49414;45747
053;    Köln, Regierungsbezirk;20 bis unter 25 Jahre;270727;138598;132129
053;    Köln, Regierungsbezirk;25 bis unter 30 Jahre;284654;143110;141544
053;    Köln, Regierungsbezirk;30 bis unter 35 Jahre;279417;138045;141372
053;    Köln, Regierungsbezirk;35 bis unter 40 Jahre;262492;129208;133284
053;    Köln, Regierungsbezirk;40 bis unter 45 Jahre;283839;140690;143149
053;    Köln, Regierungsbezirk;45 bis unter 50 Jahre;371689;186310;185379
053;    Köln, Regierungsbezirk;50 bis unter 55 Jahre;362932;181994;180938
053;    Köln, Regierungsbezirk;55 bis unter 60 Jahre;303895;150589;153306
053;    Köln, Regierungsbezirk;60 bis unter 65 Jahre;257349;123251;134098
053;    Köln, Regierungsbezirk;65 bis unter 75 Jahre;429451;201349;228102
053;    Köln, Regierungsbezirk;75 Jahre und mehr;433327;174578;258749
053;    Köln, Regierungsbezirk;Total;4361724;2130864;2230860
05314;      Bonn, Kreisfreie Stadt;unter 3 Jahre;9494;4860;4634
05314;      Bonn, Kreisfreie Stadt;3 bis unter 6 Jahre;9041;4668;4373
05314;      Bonn, Kreisfreie Stadt;6 bis unter 10 Jahre;11809;6175;5634
05314;      Bonn, Kreisfreie Stadt;10 bis unter 15 Jahre;14412;7374;7038
05314;      Bonn, Kreisfreie Stadt;15 bis unter 18 Jahre;8821;4491;4330
05314;      Bonn, Kreisfreie Stadt;18 bis unter 20 Jahre;6723;3365;3358
05314;      Bonn, Kreisfreie Stadt;20 bis unter 25 Jahre;22948;10502;12446
05314;      Bonn, Kreisfreie Stadt;25 bis unter 30 Jahre;24631;11499;13132
05314;      Bonn, Kreisfreie Stadt;30 bis unter 35 Jahre;24101;11516;12585
05314;      Bonn, Kreisfreie Stadt;35 bis unter 40 Jahre;20575;10037;10538
05314;      Bonn, Kreisfreie Stadt;40 bis unter 45 Jahre;20268;10053;10215
05314;      Bonn, Kreisfreie Stadt;45 bis unter 50 Jahre;24614;12197;12417
05314;      Bonn, Kreisfreie Stadt;50 bis unter 55 Jahre;23584;11580;12004
05314;      Bonn, Kreisfreie Stadt;55 bis unter 60 Jahre;19519;9451;10068
05314;      Bonn, Kreisfreie Stadt;60 bis unter 65 Jahre;16191;7555;8636
05314;      Bonn, Kreisfreie Stadt;65 bis unter 75 Jahre;27430;12272;15158
05314;      Bonn, Kreisfreie Stadt;75 Jahre und mehr;29797;11141;18656
05314;      Bonn, Kreisfreie Stadt;Total;313958;148736;165222
05315;      Köln, Kreisfreie Stadt;unter 3 Jahre;30922;15927;14995
05315;      Köln, Kreisfreie Stadt;3 bis unter 6 Jahre;27902;14284;13618
05315;      Köln, Kreisfreie Stadt;6 bis unter 10 Jahre;35950;18465;17485
05315;      Köln, Kreisfreie Stadt;10 bis unter 15 Jahre;42886;22049;20837
05315;      Köln, Kreisfreie Stadt;15 bis unter 18 Jahre;26911;13768;13143
05315;      Köln, Kreisfreie Stadt;18 bis unter 20 Jahre;19355;9605;9750
05315;      Köln, Kreisfreie Stadt;20 bis unter 25 Jahre;69713;32435;37278
05315;      Köln, Kreisfreie Stadt;25 bis unter 30 Jahre;88084;41527;46557
05315;      Köln, Kreisfreie Stadt;30 bis unter 35 Jahre;87738;42777;44961
05315;      Köln, Kreisfreie Stadt;35 bis unter 40 Jahre;77677;38870;38807
05315;      Köln, Kreisfreie Stadt;40 bis unter 45 Jahre;74916;38393;36523
05315;      Köln, Kreisfreie Stadt;45 bis unter 50 Jahre;86514;44785;41729
05315;      Köln, Kreisfreie Stadt;50 bis unter 55 Jahre;77876;39662;38214
05315;      Köln, Kreisfreie Stadt;55 bis unter 60 Jahre;62721;31124;31597
05315;      Köln, Kreisfreie Stadt;60 bis unter 65 Jahre;52912;24778;28134
05315;      Köln, Kreisfreie Stadt;65 bis unter 75 Jahre;93874;43784;50090
05315;      Köln, Kreisfreie Stadt;75 Jahre und mehr;90729;36558;54171
05315;      Köln, Kreisfreie Stadt;Total;1046680;508791;537889
05316;      Leverkusen, Kreisfreie Stadt;unter 3 Jahre;4379;2240;2139
05316;      Leverkusen, Kreisfreie Stadt;3 bis unter 6 Jahre;4239;2200;2039
05316;      Leverkusen, Kreisfreie Stadt;6 bis unter 10 Jahre;5812;3019;2793
05316;      Leverkusen, Kreisfreie Stadt;10 bis unter 15 Jahre;7622;3961;3661
05316;      Leverkusen, Kreisfreie Stadt;15 bis unter 18 Jahre;4879;2535;2344
05316;      Leverkusen, Kreisfreie Stadt;18 bis unter 20 Jahre;3212;1658;1554
05316;      Leverkusen, Kreisfreie Stadt;20 bis unter 25 Jahre;8622;4322;4300
05316;      Leverkusen, Kreisfreie Stadt;25 bis unter 30 Jahre;9567;4735;4832
05316;      Leverkusen, Kreisfreie Stadt;30 bis unter 35 Jahre;9787;4821;4966
05316;      Leverkusen, Kreisfreie Stadt;35 bis unter 40 Jahre;9480;4645;4835
05316;      Leverkusen, Kreisfreie Stadt;40 bis unter 45 Jahre;10505;5243;5262
05316;      Leverkusen, Kreisfreie Stadt;45 bis unter 50 Jahre;13955;7039;6916
05316;      Leverkusen, Kreisfreie Stadt;50 bis unter 55 Jahre;13720;6957;6763
05316;      Leverkusen, Kreisfreie Stadt;55 bis unter 60 Jahre;11186;5508;5678
05316;      Leverkusen, Kreisfreie Stadt;60 bis unter 65 Jahre;9192;4293;4899
05316;      Leverkusen, Kreisfreie Stadt;65 bis unter 75 Jahre;16460;7489;8971
05316;      Leverkusen, Kreisfreie Stadt;75 Jahre und mehr;18923;7602;11321
05316;      Leverkusen, Kreisfreie Stadt;Total;161540;78267;83273
05334;      Städteregion Aachen (einschl. Stadt Aachen);unter 3 Jahre;13712;7113;6599
05334;      Städteregion Aachen (einschl. Stadt Aachen);3 bis unter 6 Jahre;12935;6604;6331
05334;      Städteregion Aachen (einschl. Stadt Aachen);6 bis unter 10 Jahre;18110;9272;8838
05334;      Städteregion Aachen (einschl. Stadt Aachen);10 bis unter 15 Jahre;24394;12480;11914
05334;      Städteregion Aachen (einschl. Stadt Aachen);15 bis unter 18 Jahre;16573;8565;8008
05334;      Städteregion Aachen (einschl. Stadt Aachen);18 bis unter 20 Jahre;13885;7667;6218
05334;      Städteregion Aachen (einschl. Stadt Aachen);20 bis unter 25 Jahre;44736;25668;19068
05334;      Städteregion Aachen (einschl. Stadt Aachen);25 bis unter 30 Jahre;42298;23672;18626
05334;      Städteregion Aachen (einschl. Stadt Aachen);30 bis unter 35 Jahre;34256;17856;16400
05334;      Städteregion Aachen (einschl. Stadt Aachen);35 bis unter 40 Jahre;29364;14664;14700
05334;      Städteregion Aachen (einschl. Stadt Aachen);40 bis unter 45 Jahre;32779;16319;16460
05334;      Städteregion Aachen (einschl. Stadt Aachen);45 bis unter 50 Jahre;43329;21785;21544
05334;      Städteregion Aachen (einschl. Stadt Aachen);50 bis unter 55 Jahre;42902;21805;21097
05334;      Städteregion Aachen (einschl. Stadt Aachen);55 bis unter 60 Jahre;37440;18684;18756
05334;      Städteregion Aachen (einschl. Stadt Aachen);60 bis unter 65 Jahre;32352;15552;16800
05334;      Städteregion Aachen (einschl. Stadt Aachen);65 bis unter 75 Jahre;53397;25014;28383
05334;      Städteregion Aachen (einschl. Stadt Aachen);75 Jahre und mehr;55199;21851;33348
05334;      Städteregion Aachen (einschl. Stadt Aachen);Total;547661;274571;273090
05334002;      Aachen, krfr. Stadt;unter 3 Jahre;6094;3102;2992
05334002;      Aachen, krfr. Stadt;3 bis unter 6 Jahre;5275;2668;2607
05334002;      Aachen, krfr. Stadt;6 bis unter 10 Jahre;7335;3705;3630
05334002;      Aachen, krfr. Stadt;10 bis unter 15 Jahre;9106;4654;4452
05334002;      Aachen, krfr. Stadt;15 bis unter 18 Jahre;6080;3177;2903
05334002;      Aachen, krfr. Stadt;18 bis unter 20 Jahre;6881;3983;2898
05334002;      Aachen, krfr. Stadt;20 bis unter 25 Jahre;27955;16816;11139
05334002;      Aachen, krfr. Stadt;25 bis unter 30 Jahre;25930;15224;10706
05334002;      Aachen, krfr. Stadt;30 bis unter 35 Jahre;17813;9697;8116
05334002;      Aachen, krfr. Stadt;35 bis unter 40 Jahre;12865;6660;6205
05334002;      Aachen, krfr. Stadt;40 bis unter 45 Jahre;13108;6637;6471
05334002;      Aachen, krfr. Stadt;45 bis unter 50 Jahre;16891;8686;8205
05334002;      Aachen, krfr. Stadt;50 bis unter 55 Jahre;16721;8591;8130
05334002;      Aachen, krfr. Stadt;55 bis unter 60 Jahre;14478;7282;7196
05334002;      Aachen, krfr. Stadt;60 bis unter 65 Jahre;12499;5958;6541
05334002;      Aachen, krfr. Stadt;65 bis unter 75 Jahre;21456;9838;11618
05334002;      Aachen, krfr. Stadt;75 Jahre und mehr;22849;8889;13960
05334002;      Aachen, krfr. Stadt;Total;243336;125567;117769
05354;      Aachen, Kreis;unter 3 Jahre;-;-;-
05354;      Aachen, Kreis;3 bis unter 6 Jahre;-;-;-
05354;      Aachen, Kreis;6 bis unter 10 Jahre;-;-;-
05354;      Aachen, Kreis;10 bis unter 15 Jahre;-;-;-
05354;      Aachen, Kreis;15 bis unter 18 Jahre;-;-;-
05354;      Aachen, Kreis;18 bis unter 20 Jahre;-;-;-
05354;      Aachen, Kreis;20 bis unter 25 Jahre;-;-;-
05354;      Aachen, Kreis;25 bis unter 30 Jahre;-;-;-
05354;      Aachen, Kreis;30 bis unter 35 Jahre;-;-;-
05354;      Aachen, Kreis;35 bis unter 40 Jahre;-;-;-
05354;      Aachen, Kreis;40 bis unter 45 Jahre;-;-;-
05354;      Aachen, Kreis;45 bis unter 50 Jahre;-;-;-
05354;      Aachen, Kreis;50 bis unter 55 Jahre;-;-;-
05354;      Aachen, Kreis;55 bis unter 60 Jahre;-;-;-
05354;      Aachen, Kreis;60 bis unter 65 Jahre;-;-;-
05354;      Aachen, Kreis;65 bis unter 75 Jahre;-;-;-
05354;      Aachen, Kreis;75 Jahre und mehr;-;-;-
05354;      Aachen, Kreis;Total;-;-;-
05358;      Düren, Kreis;unter 3 Jahre;6293;3201;3092
05358;      Düren, Kreis;3 bis unter 6 Jahre;6451;3375;3076
05358;      Düren, Kreis;6 bis unter 10 Jahre;9132;4798;4334
05358;      Düren, Kreis;10 bis unter 15 Jahre;12692;6490;6202
05358;      Düren, Kreis;15 bis unter 18 Jahre;8959;4586;4373
05358;      Düren, Kreis;18 bis unter 20 Jahre;6008;3140;2868
05358;      Düren, Kreis;20 bis unter 25 Jahre;15316;8301;7015
05358;      Düren, Kreis;25 bis unter 30 Jahre;14660;7701;6959
05358;      Düren, Kreis;30 bis unter 35 Jahre;14016;7066;6950
05358;      Düren, Kreis;35 bis unter 40 Jahre;13789;6865;6924
05358;      Düren, Kreis;40 bis unter 45 Jahre;16224;8051;8173
05358;      Düren, Kreis;45 bis unter 50 Jahre;22259;11067;11192
05358;      Düren, Kreis;50 bis unter 55 Jahre;22716;11379;11337
05358;      Düren, Kreis;55 bis unter 60 Jahre;20059;9901;10158
05358;      Düren, Kreis;60 bis unter 65 Jahre;17325;8434;8891
05358;      Düren, Kreis;65 bis unter 75 Jahre;26463;12707;13756
05358;      Düren, Kreis;75 Jahre und mehr;26711;10704;16007
05358;      Düren, Kreis;Total;259073;127766;131307
05362;      Rhein-Erft-Kreis;unter 3 Jahre;12213;6256;5957
05362;      Rhein-Erft-Kreis;3 bis unter 6 Jahre;12259;6288;5971
05362;      Rhein-Erft-Kreis;6 bis unter 10 Jahre;16651;8544;8107
05362;      Rhein-Erft-Kreis;10 bis unter 15 Jahre;22446;11472;10974
05362;      Rhein-Erft-Kreis;15 bis unter 18 Jahre;14995;7733;7262
05362;      Rhein-Erft-Kreis;18 bis unter 20 Jahre;9897;5138;4759
05362;      Rhein-Erft-Kreis;20 bis unter 25 Jahre;24782;12821;11961
05362;      Rhein-Erft-Kreis;25 bis unter 30 Jahre;24496;12372;12124
05362;      Rhein-Erft-Kreis;30 bis unter 35 Jahre;25779;12636;13143
05362;      Rhein-Erft-Kreis;35 bis unter 40 Jahre;26639;12895;13744
05362;      Rhein-Erft-Kreis;40 bis unter 45 Jahre;30185;14709;15476
05362;      Rhein-Erft-Kreis;45 bis unter 50 Jahre;41078;20383;20695
05362;      Rhein-Erft-Kreis;50 bis unter 55 Jahre;39901;19840;20061
05362;      Rhein-Erft-Kreis;55 bis unter 60 Jahre;33473;16655;16818
05362;      Rhein-Erft-Kreis;60 bis unter 65 Jahre;29339;13867;15472
05362;      Rhein-Erft-Kreis;65 bis unter 75 Jahre;48835;23031;25804
05362;      Rhein-Erft-Kreis;75 Jahre und mehr;46480;19136;27344
05362;      Rhein-Erft-Kreis;Total;459448;223776;235672
05366;      Euskirchen, Kreis;unter 3 Jahre;4513;2295;2218
05366;      Euskirchen, Kreis;3 bis unter 6 Jahre;4612;2389;2223
05366;      Euskirchen, Kreis;6 bis unter 10 Jahre;6633;3374;3259
05366;      Euskirchen, Kreis;10 bis unter 15 Jahre;9502;4873;4629
05366;      Euskirchen, Kreis;15 bis unter 18 Jahre;6684;3391;3293
05366;      Euskirchen, Kreis;18 bis unter 20 Jahre;4205;2241;1964
05366;      Euskirchen, Kreis;20 bis unter 25 Jahre;10098;5308;4790
05366;      Euskirchen, Kreis;25 bis unter 30 Jahre;9732;5050;4682
05366;      Euskirchen, Kreis;30 bis unter 35 Jahre;9857;4964;4893
05366;      Euskirchen, Kreis;35 bis unter 40 Jahre;9994;4933;5061
05366;      Euskirchen, Kreis;40 bis unter 45 Jahre;11630;5767;5863
05366;      Euskirchen, Kreis;45 bis unter 50 Jahre;16666;8248;8418
05366;      Euskirchen, Kreis;50 bis unter 55 Jahre;17558;8797;8761
05366;      Euskirchen, Kreis;55 bis unter 60 Jahre;14841;7462;7379
05366;      Euskirchen, Kreis;60 bis unter 65 Jahre;12886;6472;6414
05366;      Euskirchen, Kreis;65 bis unter 75 Jahre;19245;9312;9933
05366;      Euskirchen, Kreis;75 Jahre und mehr;19502;7887;11615
05366;      Euskirchen, Kreis;Total;188158;92763;95395
05370;      Heinsberg, Kreis;unter 3 Jahre;6117;3095;3022
05370;      Heinsberg, Kreis;3 bis unter 6 Jahre;6373;3224;3149
05370;      Heinsberg, Kreis;6 bis unter 10 Jahre;8831;4574;4257
05370;      Heinsberg, Kreis;10 bis unter 15 Jahre;12584;6514;6070
05370;      Heinsberg, Kreis;15 bis unter 18 Jahre;8812;4492;4320
05370;      Heinsberg, Kreis;18 bis unter 20 Jahre;6081;3288;2793
05370;      Heinsberg, Kreis;20 bis unter 25 Jahre;13893;7419;6474
05370;      Heinsberg, Kreis;25 bis unter 30 Jahre;13371;6862;6509
05370;      Heinsberg, Kreis;30 bis unter 35 Jahre;13602;6725;6877
05370;      Heinsberg, Kreis;35 bis unter 40 Jahre;13790;6763;7027
05370;      Heinsberg, Kreis;40 bis unter 45 Jahre;15841;7642;8199
05370;      Heinsberg, Kreis;45 bis unter 50 Jahre;21819;10912;10907
05370;      Heinsberg, Kreis;50 bis unter 55 Jahre;22864;11417;11447
05370;      Heinsberg, Kreis;55 bis unter 60 Jahre;19389;9712;9677
05370;      Heinsberg, Kreis;60 bis unter 65 Jahre;16408;8201;8207
05370;      Heinsberg, Kreis;65 bis unter 75 Jahre;24316;11683;12633
05370;      Heinsberg, Kreis;75 Jahre und mehr;25219;10178;15041
05370;      Heinsberg, Kreis;Total;249310;122701;126609
05374;      Oberbergischer Kreis;unter 3 Jahre;6978;3615;3363
05374;      Oberbergischer Kreis;3 bis unter 6 Jahre;7037;3560;3477
05374;      Oberbergischer Kreis;6 bis unter 10 Jahre;9856;4979;4877
05374;      Oberbergischer Kreis;10 bis unter 15 Jahre;14158;7163;6995
05374;      Oberbergischer Kreis;15 bis unter 18 Jahre;9833;4970;4863
05374;      Oberbergischer Kreis;18 bis unter 20 Jahre;6404;3344;3060
05374;      Oberbergischer Kreis;20 bis unter 25 Jahre;15249;8281;6968
05374;      Oberbergischer Kreis;25 bis unter 30 Jahre;14552;7656;6896
05374;      Oberbergischer Kreis;30 bis unter 35 Jahre;14935;7448;7487
05374;      Oberbergischer Kreis;35 bis unter 40 Jahre;14510;7221;7289
05374;      Oberbergischer Kreis;40 bis unter 45 Jahre;16351;8001;8350
05374;      Oberbergischer Kreis;45 bis unter 50 Jahre;23288;11459;11829
05374;      Oberbergischer Kreis;50 bis unter 55 Jahre;23869;11959;11910
05374;      Oberbergischer Kreis;55 bis unter 60 Jahre;20584;10262;10322
05374;      Oberbergischer Kreis;60 bis unter 65 Jahre;16959;8281;8678
05374;      Oberbergischer Kreis;65 bis unter 75 Jahre;26600;12644;13956
05374;      Oberbergischer Kreis;75 Jahre und mehr;29455;11649;17806
05374;      Oberbergischer Kreis;Total;270618;132492;138126
05378;      Rheinisch-Bergischer Kreis;unter 3 Jahre;6776;3512;3264
05378;      Rheinisch-Bergischer Kreis;3 bis unter 6 Jahre;7045;3669;3376
05378;      Rheinisch-Bergischer Kreis;6 bis unter 10 Jahre;10034;5186;4848
05378;      Rheinisch-Bergischer Kreis;10 bis unter 15 Jahre;14079;7306;6773
05378;      Rheinisch-Bergischer Kreis;15 bis unter 18 Jahre;9560;4929;4631
05378;      Rheinisch-Bergischer Kreis;18 bis unter 20 Jahre;6109;3132;2977
05378;      Rheinisch-Bergischer Kreis;20 bis unter 25 Jahre;13629;7107;6522
05378;      Rheinisch-Bergischer Kreis;25 bis unter 30 Jahre;12693;6365;6328
05378;      Rheinisch-Bergischer Kreis;30 bis unter 35 Jahre;13582;6594;6988
05378;      Rheinisch-Bergischer Kreis;35 bis unter 40 Jahre;14626;7027;7599
05378;      Rheinisch-Bergischer Kreis;40 bis unter 45 Jahre;17914;8604;9310
05378;      Rheinisch-Bergischer Kreis;45 bis unter 50 Jahre;25909;12539;13370
05378;      Rheinisch-Bergischer Kreis;50 bis unter 55 Jahre;25720;12778;12942
05378;      Rheinisch-Bergischer Kreis;55 bis unter 60 Jahre;21053;10472;10581
05378;      Rheinisch-Bergischer Kreis;60 bis unter 65 Jahre;17256;8247;9009
05378;      Rheinisch-Bergischer Kreis;65 bis unter 75 Jahre;31096;14368;16728
05378;      Rheinisch-Bergischer Kreis;75 Jahre und mehr;32416;13457;18959
05378;      Rheinisch-Bergischer Kreis;Total;279497;135292;144205
05382;      Rhein-Sieg-Kreis;unter 3 Jahre;15421;8045;7376
05382;      Rhein-Sieg-Kreis;3 bis unter 6 Jahre;15814;8250;7564
05382;      Rhein-Sieg-Kreis;6 bis unter 10 Jahre;22017;11338;10679
05382;      Rhein-Sieg-Kreis;10 bis unter 15 Jahre;30276;15678;14598
05382;      Rhein-Sieg-Kreis;15 bis unter 18 Jahre;20352;10514;9838
05382;      Rhein-Sieg-Kreis;18 bis unter 20 Jahre;13282;6836;6446
05382;      Rhein-Sieg-Kreis;20 bis unter 25 Jahre;31741;16434;15307
05382;      Rhein-Sieg-Kreis;25 bis unter 30 Jahre;30570;15671;14899
05382;      Rhein-Sieg-Kreis;30 bis unter 35 Jahre;31764;15642;16122
05382;      Rhein-Sieg-Kreis;35 bis unter 40 Jahre;32048;15288;16760
05382;      Rhein-Sieg-Kreis;40 bis unter 45 Jahre;37226;17908;19318
05382;      Rhein-Sieg-Kreis;45 bis unter 50 Jahre;52258;25896;26362
05382;      Rhein-Sieg-Kreis;50 bis unter 55 Jahre;52222;25820;26402
05382;      Rhein-Sieg-Kreis;55 bis unter 60 Jahre;43630;21358;22272
05382;      Rhein-Sieg-Kreis;60 bis unter 65 Jahre;36529;17571;18958
05382;      Rhein-Sieg-Kreis;65 bis unter 75 Jahre;61735;29045;32690
05382;      Rhein-Sieg-Kreis;75 Jahre und mehr;58896;24415;34481
05382;      Rhein-Sieg-Kreis;Total;585781;285709;300072
055;    Münster, Regierungsbezirk;unter 3 Jahre;65467;33675;31792
055;    Münster, Regierungsbezirk;3 bis unter 6 Jahre;65719;33758;31961
055;    Münster, Regierungsbezirk;6 bis unter 10 Jahre;91934;47369;44565
055;    Münster, Regierungsbezirk;10 bis unter 15 Jahre;129885;66719;63166
055;    Münster, Regierungsbezirk;15 bis unter 18 Jahre;88436;45502;42934
055;    Münster, Regierungsbezirk;18 bis unter 20 Jahre;60587;31064;29523
055;    Münster, Regierungsbezirk;20 bis unter 25 Jahre;160293;82091;78202
055;    Münster, Regierungsbezirk;25 bis unter 30 Jahre;155729;80163;75566
055;    Münster, Regierungsbezirk;30 bis unter 35 Jahre;148198;75009;73189
055;    Münster, Regierungsbezirk;35 bis unter 40 Jahre;144451;72442;72009
055;    Münster, Regierungsbezirk;40 bis unter 45 Jahre;166200;82743;83457
055;    Münster, Regierungsbezirk;45 bis unter 50 Jahre;221220;111476;109744
055;    Münster, Regierungsbezirk;50 bis unter 55 Jahre;220235;110332;109903
055;    Münster, Regierungsbezirk;55 bis unter 60 Jahre;190184;94439;95745
055;    Münster, Regierungsbezirk;60 bis unter 65 Jahre;160552;78289;82263
055;    Münster, Regierungsbezirk;65 bis unter 75 Jahre;246743;117642;129101
055;    Münster, Regierungsbezirk;75 Jahre und mehr;264831;101565;163266
055;    Münster, Regierungsbezirk;Total;2580664;1264278;1316386
05512;      Bottrop, Kreisfreie Stadt;unter 3 Jahre;2591;1347;1244
05512;      Bottrop, Kreisfreie Stadt;3 bis unter 6 Jahre;2644;1381;1263
05512;      Bottrop, Kreisfreie Stadt;6 bis unter 10 Jahre;3720;1875;1845
05512;      Bottrop, Kreisfreie Stadt;10 bis unter 15 Jahre;5385;2739;2646
05512;      Bottrop, Kreisfreie Stadt;15 bis unter 18 Jahre;3624;1856;1768
05512;      Bottrop, Kreisfreie Stadt;18 bis unter 20 Jahre;2487;1322;1165
05512;      Bottrop, Kreisfreie Stadt;20 bis unter 25 Jahre;6303;3273;3030
05512;      Bottrop, Kreisfreie Stadt;25 bis unter 30 Jahre;6529;3314;3215
05512;      Bottrop, Kreisfreie Stadt;30 bis unter 35 Jahre;6420;3195;3225
05512;      Bottrop, Kreisfreie Stadt;35 bis unter 40 Jahre;6471;3276;3195
05512;      Bottrop, Kreisfreie Stadt;40 bis unter 45 Jahre;7377;3695;3682
05512;      Bottrop, Kreisfreie Stadt;45 bis unter 50 Jahre;10029;4963;5066
05512;      Bottrop, Kreisfreie Stadt;50 bis unter 55 Jahre;10080;5008;5072
05512;      Bottrop, Kreisfreie Stadt;55 bis unter 60 Jahre;9313;4598;4715
05512;      Bottrop, Kreisfreie Stadt;60 bis unter 65 Jahre;8006;3824;4182
05512;      Bottrop, Kreisfreie Stadt;65 bis unter 75 Jahre;12118;5673;6445
05512;      Bottrop, Kreisfreie Stadt;75 Jahre und mehr;12920;4789;8131
05512;      Bottrop, Kreisfreie Stadt;Total;116017;56128;59889
05513;      Gelsenkirchen, Kreisfreie Stadt;unter 3 Jahre;6578;3372;3206
05513;      Gelsenkirchen, Kreisfreie Stadt;3 bis unter 6 Jahre;6653;3455;3198
05513;      Gelsenkirchen, Kreisfreie Stadt;6 bis unter 10 Jahre;9060;4714;4346
05513;      Gelsenkirchen, Kreisfreie Stadt;10 bis unter 15 Jahre;12231;6405;5826
05513;      Gelsenkirchen, Kreisfreie Stadt;15 bis unter 18 Jahre;8083;4229;3854
05513;      Gelsenkirchen, Kreisfreie Stadt;18 bis unter 20 Jahre;5456;2815;2641
05513;      Gelsenkirchen, Kreisfreie Stadt;20 bis unter 25 Jahre;15766;8126;7640
05513;      Gelsenkirchen, Kreisfreie Stadt;25 bis unter 30 Jahre;16353;8542;7811
05513;      Gelsenkirchen, Kreisfreie Stadt;30 bis unter 35 Jahre;15260;7866;7394
05513;      Gelsenkirchen, Kreisfreie Stadt;35 bis unter 40 Jahre;15011;7768;7243
05513;      Gelsenkirchen, Kreisfreie Stadt;40 bis unter 45 Jahre;16872;8604;8268
05513;      Gelsenkirchen, Kreisfreie Stadt;45 bis unter 50 Jahre;20563;10690;9873
05513;      Gelsenkirchen, Kreisfreie Stadt;50 bis unter 55 Jahre;20902;10638;10264
05513;      Gelsenkirchen, Kreisfreie Stadt;55 bis unter 60 Jahre;19086;9619;9467
05513;      Gelsenkirchen, Kreisfreie Stadt;60 bis unter 65 Jahre;16269;7901;8368
05513;      Gelsenkirchen, Kreisfreie Stadt;65 bis unter 75 Jahre;25658;12285;13373
05513;      Gelsenkirchen, Kreisfreie Stadt;75 Jahre und mehr;27850;10159;17691
05513;      Gelsenkirchen, Kreisfreie Stadt;Total;257651;127188;130463
05515;      Münster, Kreisfreie Stadt;unter 3 Jahre;8030;4130;3900
05515;      Münster, Kreisfreie Stadt;3 bis unter 6 Jahre;7519;3842;3677
05515;      Münster, Kreisfreie Stadt;6 bis unter 10 Jahre;9569;4990;4579
05515;      Münster, Kreisfreie Stadt;10 bis unter 15 Jahre;12065;6143;5922
05515;      Münster, Kreisfreie Stadt;15 bis unter 18 Jahre;7726;3985;3741
05515;      Münster, Kreisfreie Stadt;18 bis unter 20 Jahre;7385;3406;3979
05515;      Münster, Kreisfreie Stadt;20 bis unter 25 Jahre;30060;13165;16895
05515;      Münster, Kreisfreie Stadt;25 bis unter 30 Jahre;29857;14565;15292
05515;      Münster, Kreisfreie Stadt;30 bis unter 35 Jahre;23867;12133;11734
